Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00201         4815     9.1194  -20.0848     9.1182  -20.0868    0.00516
00201         4960     6.1846  -20.0793     6.1837  -20.0816    0.00497
00201         5105     3.2468  -20.0765     3.2461  -20.0790    0.00479
00201         5250     0.3048  -20.0764     0.3043  -20.0789    0.00461
00201         5395    -2.6425  -20.0790    -2.6429  -20.0814    0.00446
00201         5540    -5.5966  -20.0844    -5.5967  -20.0865    0.00440
00201         5685    -8.5586  -20.0926    -8.5583  -20.0944    0.00455
00201         5830   -11.5299  -20.1039   -11.5292  -20.1053    0.00505
00201         5975   -14.5125  -20.1189   -14.5113  -20.1201    0.00583
00201         6120   -17.5088  -20.1385   -17.5071  -20.1397    0.00656
00201         6265   -20.5215  -20.1633   -20.5196  -20.1647    0.00707
00201         6410   -23.5526  -20.1929   -23.5507  -20.1948    0.00782
00201         6555   -26.6017  -20.2255   -26.5991  -20.2272    0.00911
00201         6700   -29.6662  -20.2581   -29.6611  -20.2584    0.01226
00235         3800    29.6644  -23.6209    29.6560  -23.6184    0.02402
00235         3945    26.7114  -23.5934    26.7068  -23.5935    0.01189
00235         4090    23.7597  -23.5652    23.7574  -23.5672    0.00664
00235         4235    20.8100  -23.5371    20.8083  -23.5397    0.00639
00235         4380    17.8643  -23.5116    17.8625  -23.5138    0.00620
00235         4525    14.9226  -23.4903    14.9208  -23.4922    0.00584
00235         4670    11.9839  -23.4740    11.9821  -23.4756    0.00545
00235         4815     9.0460  -23.4624     9.0445  -23.4639    0.00506
00235         4960     6.1070  -23.4549     6.1058  -23.4566    0.00475
00235         5105     3.1654  -23.4512     3.1645  -23.4530    0.00456
00235         5250     0.2197  -23.4511     0.2191  -23.4528    0.00451
00235         5395    -2.7315  -23.4543    -2.7318  -23.4560    0.00461
00235         5540    -5.6895  -23.4611    -5.6894  -23.4626    0.00489
00235         5685    -8.6557  -23.4718    -8.6553  -23.4731    0.00535
00235         5830   -11.6320  -23.4868   -11.6312  -23.4881    0.00589
00235         5975   -14.6204  -23.5067   -14.6192  -23.5081    0.00636
00235         6120   -17.6232  -23.5319   -17.6218  -23.5338    0.00680
00235         6265   -20.6420  -23.5621   -20.6405  -23.5643    0.00750
00235         6410   -23.6772  -23.5956   -23.6751  -23.5976    0.00859
00235         6555   -26.7275  -23.6300   -26.7233  -23.6306    0.01121
00235         6700   -29.7922  -23.6647   -29.7848  -23.6631    0.01751
00269         3800    29.6094  -27.0347    29.6012  -27.0318    0.02706
00269         3945    26.6501  -27.0011    26.6424  -26.9981    0.02295
00269         4090    23.6979  -26.9729    23.6933  -26.9726    0.01202
00269         4235    20.7472  -26.9453    20.7447  -26.9471    0.00596
00269         4380    17.7981  -26.9185    17.7964  -26.9212    0.00525
00269         4525    14.8512  -26.8944    14.8497  -26.8971    0.00533
00269         4670    11.9065  -26.8745    11.9050  -26.8769    0.00523
00269         4815     8.9628  -26.8596     8.9614  -26.8616    0.00511
00269         4960     6.0185  -26.8497     6.0172  -26.8515    0.00502
00269         5105     3.0718  -26.8446     3.0708  -26.8462    0.00501
00269         5250     0.1211  -26.8441     0.1205  -26.8457    0.00508
00269         5395    -2.8350  -26.8483    -2.8353  -26.8499    0.00526
00269         5540    -5.7982  -26.8571    -5.7981  -26.8588    0.00551
00269         5685    -8.7702  -26.8710    -8.7698  -26.8728    0.00580
00269         5830   -11.7527  -26.8901   -11.7521  -26.8922    0.00614
00269         5975   -14.7477  -26.9145   -14.7468  -26.9169    0.00662
00269         6120   -17.7565  -26.9437   -17.7553  -26.9462    0.00731
00269         6265   -20.7797  -26.9763   -20.7777  -26.9781    0.00833
00269         6410   -23.8169  -27.0103   -23.8130  -27.0105    0.01130
00269         6555   -26.8685  -27.0457   -26.8618  -27.0437    0.01729
00269         6700   -29.9411  -27.0880   -29.9341  -27.0866    0.01793
00302         3800    29.5641  -30.4820    29.5639  -30.4870    0.00977
00302         3945    26.5836  -30.4275    26.5764  -30.4248    0.02444
00302         4090    23.6234  -30.3920    23.6160  -30.3881    0.02407
00302         4235    20.6705  -30.3644    20.6653  -30.3627    0.01514
00302         4380    17.7193  -30.3392    17.7162  -30.3399    0.00760
00302         4525    14.7689  -30.3159    14.7668  -30.3181    0.00448
00302         4670    11.8190  -30.2955    11.8175  -30.2982    0.00431
00302         4815     8.8694  -30.2792     8.8681  -30.2821    0.00457
00302         4960     5.9188  -30.2679     5.9177  -30.2707    0.00475
00302         5105     2.9658  -30.2619     2.9650  -30.2645    0.00490
00302         5250     0.0090  -30.2614     0.0083  -30.2640    0.00508
00302         5395    -2.9535  -30.2664    -2.9538  -30.2690    0.00531
00302         5540    -5.9231  -30.2770    -5.9232  -30.2797    0.00562
00302         5685    -8.9017  -30.2932    -8.9015  -30.2959    0.00600
