Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00269         9700    29.7617  -27.3580    29.7629  -27.3607    0.01219
00269         9865    26.8132  -27.3085    26.8123  -27.3091    0.01204
00269        10030    23.8740  -27.2678    23.8731  -27.2683    0.00774
00269        10195    20.9379  -27.2318    20.9374  -27.2326    0.00438
00269        10360    18.0027  -27.1993    18.0023  -27.1999    0.00361
00269        10525    15.0674  -27.1704    15.0669  -27.1707    0.00381
00269        10690    12.1311  -27.1460    12.1305  -27.1458    0.00402
00269        10855     9.1925  -27.1268     9.1918  -27.1260    0.00416
00269        11020     6.2499  -27.1129     6.2494  -27.1117    0.00422
00269        11185     3.3016  -27.1046     3.3014  -27.1032    0.00422
00269        11350     0.3457  -27.1018     0.3457  -27.1003    0.00417
00269        11515    -2.6199  -27.1046    -2.6195  -27.1032    0.00410
00269        11680    -5.5969  -27.1131    -5.5962  -27.1120    0.00404
00269        11845    -8.5875  -27.1273    -8.5866  -27.1266    0.00400
00269        12010   -11.5936  -27.1473   -11.5926  -27.1471    0.00405
00269        12175   -14.6172  -27.1728   -14.6163  -27.1733    0.00421
00269        12340   -17.6600  -27.2034   -17.6592  -27.2044    0.00434
00269        12505   -20.7232  -27.2382   -20.7223  -27.2395    0.00438
00269        12670   -23.8081  -27.2771   -23.8070  -27.2784    0.00536
00269        12835   -26.9179  -27.3216   -26.9169  -27.3232    0.00748
00269        13000   -30.0602  -27.3767   -30.0614  -27.3806    0.00743
00302         9700    29.6230  -30.8518    29.6284  -30.8592    0.00952
00302         9865    26.6597  -30.7875    26.6611  -30.7909    0.01126
00302        10030    23.7100  -30.7365    23.7093  -30.7374    0.01214
00302        10195    20.7676  -30.6955    20.7667  -30.6959    0.00910
00302        10360    17.8276  -30.6610    17.8270  -30.6615    0.00566
00302        10525    14.8873  -30.6311    14.8869  -30.6319    0.00387
00302        10690    11.9452  -30.6059    11.9450  -30.6066    0.00359
00302        10855     9.0002  -30.5857     8.9999  -30.5862    0.00375
00302        11020     6.0507  -30.5711     6.0505  -30.5714    0.00389
00302        11185     3.0951  -30.5623     3.0951  -30.5625    0.00397
00302        11350     0.1317  -30.5597     0.1318  -30.5598    0.00401
00302        11515    -2.8414  -30.5633    -2.8411  -30.5635    0.00405
00302        11680    -5.8262  -30.5731    -5.8258  -30.5735    0.00409
00302        11845    -8.8246  -30.5890    -8.8241  -30.5898    0.00412
00302        12010   -11.8383  -30.6109   -11.8378  -30.6119    0.00410
00302        12175   -14.8692  -30.6381   -14.8685  -30.6394    0.00406
00302        12340   -17.9186  -30.6706   -17.9178  -30.6718    0.00451
00302        12505   -20.9886  -30.7084   -20.9876  -30.7097    0.00617
00302        12670   -24.0826  -30.7539   -24.0820  -30.7560    0.00763
00302        12835   -27.2072  -30.8117   -27.2089  -30.8167    0.00733
00302        13000   -30.3689  -30.8842   -30.3739  -30.8927    0.01135

 Average RMS spot radius =   0.00479
 Maximum RMS spot radius =   0.01244
 Minimum RMS spot radius =   0.00342
