Executing C:\Users\rhb\Documents\ZEMAX\MACROS\SPECTRO_CENTROIDS_INTENSITY_WEIGHTED.ZPL.
                          Chief Ray             Centroid
Fiber   Lambda (?)    Pixel X   Pixel Y    Pixel X   Pixel Y        RMS
00269         7025   -20.7183  -27.1192   -20.7169  -27.1203    0.00391
00269         7200   -17.7690  -27.0862   -17.7677  -27.0870    0.00389
00269         7375   -14.8231  -27.0581   -14.8219  -27.0586    0.00398
00269         7550   -11.8791  -27.0350   -11.8780  -27.0351    0.00403
00269         7725    -8.9354  -27.0171    -8.9345  -27.0169    0.00403
00269         7900    -5.9902  -27.0044    -5.9896  -27.0039    0.00403
00269         8075    -3.0418  -26.9970    -3.0416  -26.9964    0.00403
00269         8250    -0.0885  -26.9950    -0.0887  -26.9943    0.00406
00269         8425     2.8716  -26.9984     2.8709  -26.9978    0.00412
00269         8600     5.8402  -27.0074     5.8392  -27.0069    0.00420
00269         8775     8.8194  -27.0217     8.8180  -27.0215    0.00428
00269         8950    11.8109  -27.0416    11.8093  -27.0417    0.00435
00269         9125    14.8167  -27.0669    14.8148  -27.0674    0.00442
00269         9300    17.8384  -27.0976    17.8364  -27.0984    0.00458
00269         9475    20.8781  -27.1336    20.8760  -27.1348    0.00498
00269         9650    23.9378  -27.1751    23.9356  -27.1767    0.00586
00269         9825    27.0197  -27.2225    27.0176  -27.2246    0.00735
00269        10000    30.1271  -27.2769    30.1258  -27.2800    0.00884
00302         6500   -29.5258  -30.7245   -29.5279  -30.7303    0.00879
00302         6675   -26.5458  -30.6660   -26.5452  -30.6688    0.00887
00302         6850   -23.5774  -30.6165   -23.5763  -30.6184    0.00697
00302         7025   -20.6168  -30.5737   -20.6156  -30.5752    0.00508
00302         7200   -17.6614  -30.5369   -17.6602  -30.5382    0.00404
00302         7375   -14.7094  -30.5058   -14.7084  -30.5069    0.00371
00302         7550   -11.7591  -30.4805   -11.7583  -30.4813    0.00369
00302         7725    -8.8089  -30.4608    -8.8083  -30.4615    0.00374
00302         7900    -5.8571  -30.4470    -5.8567  -30.4475    0.00379
00302         8075    -2.9020  -30.4391    -2.9019  -30.4394    0.00383
00302         8250     0.0582  -30.4372     0.0580  -30.4375    0.00387
00302         8425     3.0252  -30.4414     3.0247  -30.4417    0.00393
00302         8600     6.0010  -30.4516     6.0002  -30.4520    0.00399
00302         8775     8.9873  -30.4678     8.9862  -30.4685    0.00408
00302         8950    11.9860  -30.4902    11.9847  -30.4911    0.00422
00302         9125    14.9990  -30.5186    14.9974  -30.5198    0.00450
00302         9300    18.0281  -30.5531    18.0264  -30.5546    0.00506
00302         9475    21.0754  -30.5940    21.0736  -30.5958    0.00608
00302         9650    24.1432  -30.6415    24.1415  -30.6440    0.00752
00302         9825    27.2346  -30.6970    27.2337  -30.7008    0.00876
00302        10000    30.3555  -30.7638    30.3582  -30.7716    0.01175

 Average RMS spot radius =   0.00481
 Maximum RMS spot radius =   0.01175
 Minimum RMS spot radius =   0.00313
