λ (nm),E17016R/E17012R sur SN2,,,,,,,,,,,,,,,,,,,,,,Design Nominal,,Requirements,,,Tmoy sur les 21 points de mesures,,Points,Moyenne entre 652-1270nm,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,,,,λ (nm),T(%),,,,,,
1185,95.6015,95.8740,96.0871,96.3506,96.6893,96.6276,96.3473,96.5536,95.8426,96.6254,96.4190,96.6691,96.6725,96.8228,96.5222,96.7241,96.4325,95.9781,95.5687,95.5195,96.4542,,95.7014,,,,,96.3039,,,,
1184,95.7636,95.9632,96.2144,96.5216,96.8805,96.7336,96.4779,96.8109,95.9049,96.7168,96.5486,96.7964,96.8693,96.9287,96.7089,96.9500,96.4757,96.2760,95.6481,95.6626,96.5329,,95.765,,,,,96.4469,,,,
1183,95.8608,96.0827,96.3505,96.6452,96.9869,96.9029,96.5443,96.8749,96.0109,96.8917,96.6743,96.9611,97.0026,97.1068,96.8838,97.0497,96.6104,96.3774,95.7534,95.6762,96.7039,,95.8336,,,,,96.5691,,,,
1182,96.0571,96.2937,96.5627,96.7914,97.1984,97.0549,96.7208,97.0829,96.2197,97.0986,96.8408,97.1838,97.2006,97.3621,97.0740,97.1838,96.7634,96.5217,95.8857,95.7706,96.9450,,95.9072,,,,,96.7529,,,,
1181,96.2886,96.4365,96.6314,96.9887,97.3416,97.2251,96.8868,97.2106,96.3569,97.2352,96.9316,97.3573,97.2935,97.4738,97.2094,97.3629,96.8935,96.6896,96.0210,95.9640,97.1058,,95.9853,,,,,96.9002,,,,
1180,96.4176,96.6688,96.7910,97.1902,97.5703,97.4155,97.1229,97.4604,96.5668,97.4122,97.2070,97.5669,97.5501,97.7250,97.4245,97.5815,97.1307,96.8238,96.0999,96.1077,97.2150,,96.068,,,,,97.0975,,,,
1179,96.4161,96.7568,96.8487,97.2936,97.6118,97.4684,97.2656,97.5412,96.5988,97.4975,97.3283,97.6780,97.6231,97.7329,97.4908,97.6600,97.2510,96.9773,96.2610,96.2677,97.3358,,96.155,,,,,97.1859,,,,
1178,96.6564,96.8884,96.9691,97.4712,97.8109,97.6988,97.3816,97.6484,96.7270,97.7044,97.4668,97.7829,97.7268,97.9118,97.6685,97.7851,97.3726,97.1173,96.4759,96.4011,97.4904,,96.2458,,,,,97.3407,,,,
1177,96.8311,97.0451,97.1236,97.5919,98.0077,97.8284,97.5180,97.7824,96.8658,97.8519,97.5964,97.9079,97.8620,97.9942,97.7656,97.9057,97.4530,97.2907,96.5383,96.4758,97.5466,,96.3404,,,,,97.4658,,,,
1176,96.9457,97.1609,97.3190,97.6933,98.1338,98.0262,97.6306,97.9164,96.9793,98.0329,97.7920,98.1215,98.0251,98.1596,97.9489,98.0307,97.5633,97.3531,96.6337,96.5455,97.6176,,96.4384,,,,,97.6014,,,,
1175,97.0641,97.3308,97.4753,97.8272,98.2407,98.1342,97.7443,98.0894,97.1134,98.1275,97.9751,98.2743,98.1555,98.3191,98.1398,98.1948,97.7913,97.4882,96.7384,96.6770,97.7953,,96.5394,,,,,97.7474,,,,
1174,97.2879,97.5703,97.6432,97.9939,98.4198,98.2315,97.9592,98.3201,97.2644,98.2719,98.1553,98.4669,98.2921,98.5633,98.2786,98.3503,97.9626,97.6683,96.9636,96.8821,97.9910,,96.6432,,,,,97.9303,,,,
1173,97.4148,97.6680,97.7073,98.1880,98.5488,98.3740,98.0726,98.4390,97.4204,98.4412,98.2138,98.5600,98.4670,98.6743,98.4368,98.5029,98.0412,97.8318,97.1325,97.0074,98.1394,,96.7492,,,,,98.0610,,,,
1172,97.5587,97.8017,97.9249,98.3739,98.7323,98.6338,98.2216,98.5419,97.5956,98.6237,98.4423,98.6674,98.6338,98.7883,98.5755,98.5979,98.2810,98.0229,97.3158,97.1874,98.2482,,96.8573,,,,,98.2271,,,,
1171,97.7239,97.9769,98.0553,98.5076,98.8547,98.7573,98.3878,98.6341,97.7373,98.7259,98.5569,98.8692,98.7606,98.9521,98.6744,98.8043,98.3912,98.1609,97.5110,97.3144,98.4268,,96.967,,,,,98.3706,,,,
1170,97.9161,98.1343,98.1802,98.6503,98.9894,98.8663,98.5271,98.8573,97.9631,98.9278,98.7286,99.0039,98.9334,99.1617,98.8204,98.9636,98.5350,98.2984,97.6356,97.5954,98.4700,,97.0778,,,,,98.5313,,,,
1169,98.0352,98.2453,98.3559,98.7125,99.2009,98.9304,98.5918,98.9047,98.0061,98.9986,98.8198,99.0545,99.0332,99.1282,98.9058,98.9841,98.6421,98.4605,97.8960,97.7443,98.5049,,97.1893,,,,,98.6264,,,,
1168,98.0903,98.3184,98.5733,98.7623,99.2263,99.0384,98.6985,98.9602,98.1171,99.0664,98.9154,99.2028,99.1189,99.2252,99.0586,99.0988,98.7064,98.5804,97.9916,97.7575,98.7230,,97.3012,,,,,98.7252,,,,
1167,98.2211,98.4636,98.6077,98.9173,99.3765,99.1229,98.8536,99.1206,98.2725,99.1687,99.0804,99.3184,99.2201,99.3731,99.1787,99.2413,98.9050,98.6252,97.9583,97.8303,98.8738,,97.4128,,,,,98.8442,,,,
1166,98.3556,98.5777,98.7050,99.0455,99.4820,99.2699,99.0020,99.2063,98.4549,99.3425,99.1951,99.3737,99.3346,99.5289,99.2699,99.4485,99.0366,98.6808,98.0897,98.0696,98.8938,,97.5239,,,,,98.9696,,,,
